Unnamed: 0,site_id,species_a,phenophase_a,species_b,phenophase_b,number_of_observations,kendall_tau,p_value,species_a_name,species_b_name,site_name
9,8182,3,Breaking leaf buds,1172,Increasing leaf size,14,0.4114352887942449,0.0464349408310933,red maple,yellow buckeye,GRSM-PKnob Upper Plot
21,8182,3,Increasing leaf size,102,Breaking leaf buds,14,0.5142941109928062,0.0127092012460418,red maple,northern red oak,GRSM-PKnob Upper Plot
27,8182,3,Increasing leaf size,1172,Flowers or flower buds,14,0.4432104354819598,0.0310512683870737,red maple,yellow buckeye,GRSM-PKnob Upper Plot
29,8182,3,Increasing leaf size,1174,Breaking leaf buds,14,0.4832681048178826,0.0177560329856441,red maple,Allegheny serviceberry,GRSM-PKnob Upper Plot
34,8182,3,Falling leaves,93,Colored leaves,13,0.4313817631332017,0.0429155369136774,red maple,American basswood,GRSM-PKnob Upper Plot
47,8182,3,Leaves,102,Breaking leaf buds,14,0.4971830761761255,0.015233283457063,red maple,northern red oak,GRSM-PKnob Upper Plot
53,8182,3,Leaves,1172,Flowers or flower buds,14,0.4606741573033708,0.0239477828718304,red maple,yellow buckeye,GRSM-PKnob Upper Plot
55,8182,3,Leaves,1174,Breaking leaf buds,14,0.4778072729642601,0.0182199720817427,red maple,Allegheny serviceberry,GRSM-PKnob Upper Plot
75,8182,28,Breaking leaf buds,93,Leaves,14,0.4571503208824944,0.0269192474938744,black cherry,American basswood,GRSM-PKnob Upper Plot
113,8182,28,Leaves,1172,Breaking leaf buds,14,0.4157303370786517,0.0415822876912835,black cherry,yellow buckeye,GRSM-PKnob Upper Plot
125,8182,28,Colored leaves,1172,Colored leaves,13,0.4736842105263156,0.0269224584570869,black cherry,yellow buckeye,GRSM-PKnob Upper Plot
129,8182,93,Breaking leaf buds,102,Breaking leaf buds,14,0.5028653529707438,0.0149348328243508,American basswood,northern red oak,GRSM-PKnob Upper Plot
132,8182,93,Breaking leaf buds,1172,Breaking leaf buds,14,0.477303545903649,0.020344656964648,American basswood,yellow buckeye,GRSM-PKnob Upper Plot
134,8182,93,Breaking leaf buds,1172,Leaves,14,0.5142941109928062,0.0128004766603399,American basswood,yellow buckeye,GRSM-PKnob Upper Plot
137,8182,93,Breaking leaf buds,1174,Breaking leaf buds,14,0.415835346006085,0.0415686954327401,American basswood,Allegheny serviceberry,GRSM-PKnob Upper Plot
143,8182,93,Leaves,1172,Breaking leaf buds,14,0.465939175763086,0.0235314820387909,American basswood,yellow buckeye,GRSM-PKnob Upper Plot
158,8182,102,Breaking leaf buds,1172,Breaking leaf buds,14,0.5536811530143216,0.0068808604756035,northern red oak,yellow buckeye,GRSM-PKnob Upper Plot
159,8182,102,Breaking leaf buds,1172,Increasing leaf size,14,0.409090909090909,0.0467588264278091,northern red oak,yellow buckeye,GRSM-PKnob Upper Plot
160,8182,102,Breaking leaf buds,1172,Leaves,14,0.5454545454545454,0.0080181568902596,northern red oak,yellow buckeye,GRSM-PKnob Upper Plot
163,8182,102,Breaking leaf buds,1174,Breaking leaf buds,14,0.4916891718944416,0.0155342815979434,northern red oak,Allegheny serviceberry,GRSM-PKnob Upper Plot
172,8182,102,Increasing leaf size,1174,Increasing leaf size,14,0.4161919241438186,0.0453519881067274,northern red oak,Allegheny serviceberry,GRSM-PKnob Upper Plot
174,8182,102,Falling leaves,1172,Falling leaves,13,0.588348405414552,0.005764983650937,northern red oak,yellow buckeye,GRSM-PKnob Upper Plot
177,8182,102,Falling leaves,1174,Falling leaves,13,0.4516223023309454,0.0324116955062126,northern red oak,Allegheny serviceberry,GRSM-PKnob Upper Plot
185,8182,102,Leaves,1174,Increasing leaf size,14,0.439313697707364,0.0346382273288953,northern red oak,Allegheny serviceberry,GRSM-PKnob Upper Plot
186,8182,102,Leaves,1174,Leaves,14,0.4205631760067919,0.0407629831211741,northern red oak,Allegheny serviceberry,GRSM-PKnob Upper Plot
187,8182,102,Colored leaves,1172,Falling leaves,13,0.4210890847742521,0.0492017802853333,northern red oak,yellow buckeye,GRSM-PKnob Upper Plot
198,8182,1172,Falling leaves,1174,Falling leaves,13,0.802701067850918,0.0001773382188788,yellow buckeye,Allegheny serviceberry,GRSM-PKnob Upper Plot
204,8182,1172,Colored leaves,1174,Colored leaves,13,0.4473684210526314,0.0366433384598118,yellow buckeye,Allegheny serviceberry,GRSM-PKnob Upper Plot
208,8182,1172,Open flowers,1174,Breaking leaf buds,14,0.4246406484542904,0.0366428344855158,yellow buckeye,Allegheny serviceberry,GRSM-PKnob Upper Plot
213,8806,3,Increasing leaf size,12,Increasing leaf size,14,0.4745838454408471,0.0205322649786096,red maple,flowering dogwood,GRSM-Tremont-Nature Trail 
216,8806,3,Increasing leaf size,81,Increasing leaf size,14,0.4772727272727272,0.0203467612302907,red maple,sweetgum,GRSM-Tremont-Nature Trail 
219,8806,3,Increasing leaf size,82,Increasing leaf size,14,0.4406849993379294,0.031475101641879,red maple,tuliptree,GRSM-Tremont-Nature Trail 
234,8806,3,Leaves,12,Leaves,15,0.4174954050920819,0.0324865313243188,red maple,flowering dogwood,GRSM-Tremont-Nature Trail 
237,8806,3,Leaves,82,Leaves,15,0.4878106818986775,0.0127933122991969,red maple,tuliptree,GRSM-Tremont-Nature Trail 
250,8806,12,Increasing leaf size,81,Increasing leaf size,14,0.6892765374259923,0.0007670850531177,flowering dogwood,sweetgum,GRSM-Tremont-Nature Trail 
252,8806,12,Increasing leaf size,82,Breaking leaf buds,14,0.50561797752809,0.0132026637451969,flowering dogwood,tuliptree,GRSM-Tremont-Nature Trail 
254,8806,12,Increasing leaf size,823,Breaking leaf buds,14,0.4067861532350118,0.0470831681868926,flowering dogwood,American hornbeam,GRSM-Tremont-Nature Trail 
255,8806,12,Increasing leaf size,823,Increasing leaf size,14,0.4357609900500941,0.0319814186461884,flowering dogwood,American hornbeam,GRSM-Tremont-Nature Trail 
263,8806,12,Falling leaves,82,Falling leaves,13,0.5695489135379688,0.0081028659340265,flowering dogwood,tuliptree,GRSM-Tremont-Nature Trail 
274,8806,12,Colored leaves,81,Colored leaves,14,0.6628679652796168,0.001319643061989,flowering dogwood,sweetgum,GRSM-Tremont-Nature Trail 
