Unnamed: 0,site_id,species_a,phenophase_a,species_b,phenophase_b,number_of_observations,kendall_tau,p_value,genus_x,species_x,species_a_common,species_a_name,genus_y,species_y,species_b_common,species_b_name,site_name
9,8182,3,371,1172,467,14,0.4114352887942449,0.0464349408310933,Acer,rubrum,red maple,Acer rubrum,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
21,8182,3,467,102,371,14,0.5142941109928062,0.0127092012460418,Acer,rubrum,red maple,Acer rubrum,Quercus,rubra,northern red oak,Quercus rubra,GRSM-PKnob Upper Plot
27,8182,3,467,1172,500,14,0.4432104354819598,0.0310512683870737,Acer,rubrum,red maple,Acer rubrum,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
29,8182,3,467,1174,371,14,0.4832681048178826,0.0177560329856441,Acer,rubrum,red maple,Acer rubrum,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
34,8182,3,471,93,498,13,0.4313817631332017,0.0429155369136774,Acer,rubrum,red maple,Acer rubrum,Tilia,americana,American basswood,Tilia americana,GRSM-PKnob Upper Plot
47,8182,3,483,102,371,14,0.4971830761761255,0.015233283457063,Acer,rubrum,red maple,Acer rubrum,Quercus,rubra,northern red oak,Quercus rubra,GRSM-PKnob Upper Plot
53,8182,3,483,1172,500,14,0.4606741573033708,0.0239477828718304,Acer,rubrum,red maple,Acer rubrum,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
55,8182,3,483,1174,371,14,0.4778072729642601,0.0182199720817427,Acer,rubrum,red maple,Acer rubrum,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
75,8182,28,371,93,483,14,0.4571503208824944,0.0269192474938744,Prunus,serotina,black cherry,Prunus serotina,Tilia,americana,American basswood,Tilia americana,GRSM-PKnob Upper Plot
113,8182,28,483,1172,371,14,0.4157303370786517,0.0415822876912835,Prunus,serotina,black cherry,Prunus serotina,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
125,8182,28,498,1172,498,13,0.4736842105263156,0.0269224584570869,Prunus,serotina,black cherry,Prunus serotina,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
129,8182,93,371,102,371,14,0.5028653529707438,0.0149348328243508,Tilia,americana,American basswood,Tilia americana,Quercus,rubra,northern red oak,Quercus rubra,GRSM-PKnob Upper Plot
132,8182,93,371,1172,371,14,0.477303545903649,0.020344656964648,Tilia,americana,American basswood,Tilia americana,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
134,8182,93,371,1172,483,14,0.5142941109928062,0.0128004766603399,Tilia,americana,American basswood,Tilia americana,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
137,8182,93,371,1174,371,14,0.415835346006085,0.0415686954327401,Tilia,americana,American basswood,Tilia americana,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
143,8182,93,483,1172,371,14,0.465939175763086,0.0235314820387909,Tilia,americana,American basswood,Tilia americana,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
158,8182,102,371,1172,371,14,0.5536811530143216,0.0068808604756035,Quercus,rubra,northern red oak,Quercus rubra,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
159,8182,102,371,1172,467,14,0.409090909090909,0.0467588264278091,Quercus,rubra,northern red oak,Quercus rubra,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
160,8182,102,371,1172,483,14,0.5454545454545454,0.0080181568902596,Quercus,rubra,northern red oak,Quercus rubra,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
163,8182,102,371,1174,371,14,0.4916891718944416,0.0155342815979434,Quercus,rubra,northern red oak,Quercus rubra,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
172,8182,102,467,1174,467,14,0.4161919241438186,0.0453519881067274,Quercus,rubra,northern red oak,Quercus rubra,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
174,8182,102,471,1172,471,13,0.588348405414552,0.005764983650937,Quercus,rubra,northern red oak,Quercus rubra,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
177,8182,102,471,1174,471,13,0.4516223023309454,0.0324116955062126,Quercus,rubra,northern red oak,Quercus rubra,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
185,8182,102,483,1174,467,14,0.439313697707364,0.0346382273288953,Quercus,rubra,northern red oak,Quercus rubra,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
186,8182,102,483,1174,483,14,0.4205631760067919,0.0407629831211741,Quercus,rubra,northern red oak,Quercus rubra,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
187,8182,102,498,1172,471,13,0.4210890847742521,0.0492017802853333,Quercus,rubra,northern red oak,Quercus rubra,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
198,8182,1172,471,1174,471,13,0.802701067850918,0.0001773382188788,Aesculus,flava,yellow buckeye,Aesculus flava,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
204,8182,1172,498,1174,498,13,0.4473684210526314,0.0366433384598118,Aesculus,flava,yellow buckeye,Aesculus flava,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
208,8182,1172,501,1174,371,14,0.4246406484542904,0.0366428344855158,Aesculus,flava,yellow buckeye,Aesculus flava,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
213,8806,3,467,12,467,14,0.4745838454408471,0.0205322649786096,Acer,rubrum,red maple,Acer rubrum,Cornus,florida,flowering dogwood,Cornus florida,GRSM-Tremont-Nature Trail 
216,8806,3,467,81,467,14,0.4772727272727272,0.0203467612302907,Acer,rubrum,red maple,Acer rubrum,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Tremont-Nature Trail 
219,8806,3,467,82,467,14,0.4406849993379294,0.031475101641879,Acer,rubrum,red maple,Acer rubrum,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
234,8806,3,483,12,483,15,0.4174954050920819,0.0324865313243188,Acer,rubrum,red maple,Acer rubrum,Cornus,florida,flowering dogwood,Cornus florida,GRSM-Tremont-Nature Trail 
237,8806,3,483,82,483,15,0.4878106818986775,0.0127933122991969,Acer,rubrum,red maple,Acer rubrum,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
250,8806,12,467,81,467,14,0.6892765374259923,0.0007670850531177,Cornus,florida,flowering dogwood,Cornus florida,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Tremont-Nature Trail 
252,8806,12,467,82,371,14,0.50561797752809,0.0132026637451969,Cornus,florida,flowering dogwood,Cornus florida,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
254,8806,12,467,823,371,14,0.4067861532350118,0.0470831681868926,Cornus,florida,flowering dogwood,Cornus florida,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
255,8806,12,467,823,467,14,0.4357609900500941,0.0319814186461884,Cornus,florida,flowering dogwood,Cornus florida,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
